Model,DPO3014
Firmware Version,2.23

Waveform Type,Analog
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.02
Horizontal Delay,0
Sample Interval,2e-05
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,5
Vertical Position,0
Label,
TIME,CH1
-9.466e-02,0.4
-9.464e-02,0.2
-9.462e-02,-0.2
-9.460e-02,0.8
-9.458e-02,0.4
-9.456e-02,0
-9.454e-02,0.2
-9.452e-02,0
-9.450e-02,-0.2
-9.448e-02,0.4
-9.446e-02,0.6
-9.444e-02,0
-9.442e-02,0.4
-9.440e-02,0.8
-9.438e-02,0.2
-9.436e-02,0
-9.434e-02,0.4
-9.432e-02,0
-9.430e-02,0
-9.428e-02,0.4
-9.426e-02,0
-9.424e-02,0
-9.422e-02,0.4
-9.420e-02,0.4
-9.418e-02,0
-9.416e-02,0
-9.414e-02,0.4
-9.412e-02,0.4
-9.410e-02,0
-9.408e-02,0.2
-9.406e-02,0
-9.404e-02,0
-9.402e-02,0
-9.400e-02,0.4
-9.398e-02,-0.2
-9.396e-02,0.2
-9.394e-02,0.2
-9.392e-02,0
-9.390e-02,0.6
-9.388e-02,0
-9.386e-02,0
-9.384e-02,0
-9.382e-02,0.4
-9.380e-02,-0.2
-9.378e-02,-0.2
-9.376e-02,0.4
-9.374e-02,0
-9.372e-02,0
-9.370e-02,0.2
-9.368e-02,0
-9.366e-02,0
-9.364e-02,0.4
-9.362e-02,0.4
-9.360e-02,0.8
-9.358e-02,1
-9.356e-02,1.6
-9.354e-02,1.6
-9.352e-02,2.2
-9.350e-02,2.8
-9.348e-02,3.4
-9.346e-02,3.8
-9.344e-02,4.2
-9.342e-02,4.2
-9.340e-02,4.8
-9.338e-02,5.4
-9.336e-02,5
-9.334e-02,5.4
-9.332e-02,6
-9.330e-02,6
-9.328e-02,6
-9.326e-02,6.6
-9.324e-02,6.4
-9.322e-02,6.8
-9.320e-02,6.8
-9.318e-02,7.2
-9.316e-02,7.4
-9.314e-02,7.4
-9.312e-02,7.6
-9.310e-02,7.4
-9.308e-02,7.2
-9.306e-02,7.4
-9.304e-02,7.6
-9.302e-02,7.6
-9.300e-02,7.8
-9.298e-02,7.6
-9.296e-02,7.6
-9.294e-02,7.4
-9.292e-02,7.4
-9.290e-02,7.6
-9.288e-02,7.2
-9.286e-02,7.2
-9.284e-02,7.2
-9.282e-02,7.2
-9.280e-02,7
-9.278e-02,7
-9.276e-02,7
-9.274e-02,7
-9.272e-02,6.6
-9.270e-02,7
-9.268e-02,6.8
-9.266e-02,6.8
-9.264e-02,6.6
-9.262e-02,6.8
-9.260e-02,6.4
-9.258e-02,6.4
-9.256e-02,6.4
-9.254e-02,6.2
-9.252e-02,6
-9.250e-02,5.4
-9.248e-02,5.4
-9.246e-02,5.8
-9.244e-02,5.4
-9.242e-02,5.6
-9.240e-02,5.2
-9.238e-02,5.2
-9.236e-02,5.6
-9.234e-02,5.2
-9.232e-02,5.2
-9.230e-02,5.2
-9.228e-02,5.2
-9.226e-02,5.2
-9.224e-02,5
-9.222e-02,4.4
-9.220e-02,4.6
-9.218e-02,4.4
-9.216e-02,4.2
-9.214e-02,3.8
-9.212e-02,4.2
-9.210e-02,3.4
-9.208e-02,3.4
-9.206e-02,3.6
-9.204e-02,3.6
-9.202e-02,3.2
-9.200e-02,3.2
-9.198e-02,2.8
-9.196e-02,2.6
-9.194e-02,2.8
-9.192e-02,3
-9.190e-02,2
-9.188e-02,2.4
-9.186e-02,1.6
-9.184e-02,2
-9.182e-02,1.6
-9.180e-02,1.8
-9.178e-02,1.2
-9.176e-02,1
-9.174e-02,0.6
-9.172e-02,0.4
-9.170e-02,0
-9.168e-02,0
-9.166e-02,0.2
-9.164e-02,0
-9.162e-02,-0.2
-9.160e-02,0.2
-9.158e-02,-0.2
-9.156e-02,-0.2
-9.154e-02,0
-9.152e-02,0.4
-9.150e-02,-0.2
-9.148e-02,0.2
-9.146e-02,0.2
-9.144e-02,-0.2
-9.142e-02,0
-9.140e-02,0.4
-9.138e-02,-0.2
-9.136e-02,0
-9.134e-02,0
-9.132e-02,0.2
-9.130e-02,0
-9.128e-02,0
-9.126e-02,-0.2
-9.124e-02,0
-9.122e-02,0.2
-9.120e-02,0
-9.118e-02,-0.4
-9.116e-02,0
-9.114e-02,0
-9.112e-02,-0.2
-9.110e-02,0.2
-9.108e-02,0
-9.106e-02,-0.2
-9.104e-02,-0.2
-9.102e-02,0.2
-9.100e-02,-0.2
-9.098e-02,0
-9.096e-02,0.4
-9.094e-02,-0.2
-9.092e-02,-0.6
-9.090e-02,0.4
-9.088e-02,0
-9.086e-02,0
-9.084e-02,0.2
-9.082e-02,0
-9.080e-02,-0.6
-9.078e-02,0
-9.076e-02,0
-9.074e-02,-0.2
-9.072e-02,-0.2
-9.070e-02,-0.2
-9.068e-02,-0.2
-9.066e-02,0
-9.064e-02,0
-9.062e-02,-0.4
-9.060e-02,-0.2
-9.058e-02,0
-9.056e-02,-0.2
-9.054e-02,-0.2
-9.052e-02,0
-9.050e-02,0
-9.048e-02,-0.4
-9.046e-02,0
-9.044e-02,-0.2
-9.042e-02,-0.6
-9.040e-02,0
-9.038e-02,0.2
-9.036e-02,-0.2
-9.034e-02,0
-9.032e-02,0
-9.030e-02,-0.6
-9.028e-02,-0.4
-9.026e-02,0
-9.024e-02,-0.2
-9.022e-02,-0.2
-9.020e-02,0
-9.018e-02,-0.2
-9.016e-02,-0.6
-9.014e-02,0
-9.012e-02,-0.2
-9.010e-02,-0.4
-9.008e-02,0
-9.006e-02,-0.2
-9.004e-02,-0.4
-9.002e-02,0.2
-9.000e-02,0
-8.998e-02,-0.6
-8.996e-02,-0.2
-8.994e-02,0.2
-8.992e-02,-0.2
-8.990e-02,-0.2
-8.988e-02,0
-8.986e-02,-0.4
-8.984e-02,-0.4
-8.982e-02,0
-8.980e-02,0
-8.978e-02,-0.4
-8.976e-02,0.2
-8.974e-02,-0.2
-8.972e-02,-0.2
-8.970e-02,0
-8.968e-02,-0.4
-8.966e-02,-0.4
-8.964e-02,0.2
-8.962e-02,-0.2
-8.960e-02,0
-8.958e-02,-0.2
-8.956e-02,0
-8.954e-02,-0.4
-8.952e-02,-0.2
-8.950e-02,0.6
-8.948e-02,-0.6
-8.946e-02,-0.4
-8.944e-02,0
-8.942e-02,-0.2
-8.940e-02,-0.4
-8.938e-02,0
-8.936e-02,-0.2
-8.934e-02,-0.6
-8.932e-02,0
-8.930e-02,0
-8.928e-02,-0.4
-8.926e-02,0
-8.924e-02,0
-8.922e-02,-0.8
-8.920e-02,-0.4
-8.918e-02,0
-8.916e-02,-0.2
-8.914e-02,0
-8.912e-02,0.2
-8.910e-02,-0.4
-8.908e-02,-0.6
-8.906e-02,0.2
-8.904e-02,-0.4
-8.902e-02,-0.6
-8.900e-02,0.2
-8.898e-02,-0.2
-8.896e-02,-0.6
-8.894e-02,0
-8.892e-02,0.2
-8.890e-02,-1
-8.888e-02,0
-8.886e-02,-0.2
-8.884e-02,-0.6
-8.882e-02,-0.2
-8.880e-02,0.2
-8.878e-02,-1
-8.876e-02,-0.2
-8.874e-02,0.4
-8.872e-02,-0.6
-8.870e-02,-0.4
-8.868e-02,-0.2
-8.866e-02,0.8
-8.864e-02,-1
-8.862e-02,0.2
-8.860e-02,-0.4
-8.858e-02,-0.6
-8.856e-02,0.2
-8.854e-02,0
-8.852e-02,-1
-8.850e-02,0.2
-8.848e-02,0
-8.846e-02,-0.6
-8.844e-02,0
-8.842e-02,0
-8.840e-02,-0.4
-8.838e-02,-0.4
-8.836e-02,0
-8.834e-02,0
-8.832e-02,0
-8.830e-02,-0.2
-8.828e-02,0
-8.826e-02,0
-8.824e-02,0
-8.822e-02,0
-8.820e-02,0
-8.818e-02,-0.2
-8.816e-02,-0.2
-8.814e-02,0
-8.812e-02,-0.2
-8.810e-02,-0.2
-8.808e-02,-0.2
-8.806e-02,-0.4
-8.804e-02,-0.6
-8.802e-02,0.2
-8.800e-02,0.2
-8.798e-02,-0.8
-8.796e-02,0.2
-8.794e-02,0.2
-8.792e-02,-1.4
-8.790e-02,-0.2
-8.788e-02,0.8
-8.786e-02,-0.8
-8.784e-02,-0.4
-8.782e-02,1
-8.780e-02,-0.4
-8.778e-02,-1
-8.776e-02,0.4
-8.774e-02,-0.2
-8.772e-02,-1.2
-8.770e-02,0
-8.768e-02,0.2
-8.766e-02,-1
-8.764e-02,0.2
-8.762e-02,0.2
-8.760e-02,-0.6
-8.758e-02,-0.2
-8.756e-02,0.2
-8.754e-02,-0.8
-8.752e-02,-0.4
-8.750e-02,0.4
-8.748e-02,-0.2
-8.746e-02,-0.6
-8.744e-02,0.2
-8.742e-02,-0.2
-8.740e-02,-0.4
-8.738e-02,-0.2
-8.736e-02,0
-8.734e-02,-0.4
-8.732e-02,0
-8.730e-02,0
-8.728e-02,-0.8
-8.726e-02,-0.2
-8.724e-02,0.4
-8.722e-02,-0.2
-8.720e-02,-0.2
-8.718e-02,0.2
-8.716e-02,-0.2
-8.714e-02,-0.2
-8.712e-02,0
-8.710e-02,0
-8.708e-02,-0.2
-8.706e-02,0.2
-8.704e-02,-0.2
-8.702e-02,-0.4
-8.700e-02,-0.2
-8.698e-02,0
-8.696e-02,-0.4
-8.694e-02,-0.2
-8.692e-02,0.6
-8.690e-02,-0.6
-8.688e-02,-0.6
-8.686e-02,-0.2
-8.684e-02,-0.4
-8.682e-02,-0.2
-8.680e-02,0
-8.678e-02,0
-8.676e-02,-0.2
-8.674e-02,0.2
-8.672e-02,0
-8.670e-02,-0.2
-8.668e-02,-0.2
-8.666e-02,0
-8.664e-02,-0.6
-8.662e-02,-0.2
-8.660e-02,0.2
-8.658e-02,-0.2
-8.656e-02,-0.2
-8.654e-02,0
-8.652e-02,-0.2
-8.650e-02,-0.6
-8.648e-02,0.2
-8.646e-02,0
-8.644e-02,-0.4
-8.642e-02,-0.2
-8.640e-02,-0.2
-8.638e-02,-0.2
-8.636e-02,-0.2
-8.634e-02,0
-8.632e-02,-0.4
-8.630e-02,-0.2
-8.628e-02,0
-8.626e-02,-0.4
-8.624e-02,-0.2
-8.622e-02,0
-8.620e-02,-0.6
-8.618e-02,-0.6
-8.616e-02,0
-8.614e-02,-0.2
-8.612e-02,-0.6
-8.610e-02,0
-8.608e-02,-0.2
-8.606e-02,-0.2
-8.604e-02,-0.2
-8.602e-02,0
-8.600e-02,-0.4
-8.598e-02,-0.4
-8.596e-02,0
-8.594e-02,-0.2
-8.592e-02,-0.2
-8.590e-02,0
-8.588e-02,0
-8.586e-02,-0.2
-8.584e-02,0
-8.582e-02,0
-8.580e-02,-0.6
-8.578e-02,0
-8.576e-02,0
-8.574e-02,-0.4
-8.572e-02,-0.2
-8.570e-02,0
-8.568e-02,-0.6
-8.566e-02,-0.4
-8.564e-02,0
-8.562e-02,-0.4
-8.560e-02,-0.2
-8.558e-02,0
-8.556e-02,-0.2
-8.554e-02,0.2
-8.552e-02,0
-8.550e-02,0
-8.548e-02,-0.2
-8.546e-02,0
-8.544e-02,0
-8.542e-02,0
-8.540e-02,0
-8.538e-02,0
-8.536e-02,-0.2
-8.534e-02,-0.2
-8.532e-02,0.2
-8.530e-02,-0.4
-8.528e-02,-0.6
-8.526e-02,-1
-8.524e-02,-1.4
-8.522e-02,-1.6
-8.520e-02,-2.2
-8.518e-02,-2.6
-8.516e-02,-2.8
-8.514e-02,-3.4
-8.512e-02,-3.8
-8.510e-02,-4.2
-8.508e-02,-4.2
-8.506e-02,-4
-8.504e-02,-4.8
-8.502e-02,-5
-8.500e-02,-5.2
-8.498e-02,-5.8
-8.496e-02,-5.8
-8.494e-02,-6.6
-8.492e-02,-6.4
-8.490e-02,-6.6
-8.488e-02,-6.8
-8.486e-02,-7
-8.484e-02,-7.2
-8.482e-02,-7.2
-8.480e-02,-7
-8.478e-02,-7.2
-8.476e-02,-7.2
-8.474e-02,-7.4
-8.472e-02,-7.2
-8.470e-02,-7.2
-8.468e-02,-7
-8.466e-02,-7.4
-8.464e-02,-7.4
-8.462e-02,-7.6
-8.460e-02,-7.6
-8.458e-02,-7.4
-8.456e-02,-7.6
-8.454e-02,-7.4
-8.452e-02,-7
-8.450e-02,-7.2
-8.448e-02,-7
-8.446e-02,-7.2
-8.444e-02,-6.8
-8.442e-02,-7
-8.440e-02,-6.8
-8.438e-02,-6.6
-8.436e-02,-6.8
-8.434e-02,-6.8
-8.432e-02,-7
-8.430e-02,-6.4
-8.428e-02,-6.6
-8.426e-02,-6.2
-8.424e-02,-6.2
-8.422e-02,-6
-8.420e-02,-5.6
-8.418e-02,-6
-8.416e-02,-5.4
-8.414e-02,-5.6
-8.412e-02,-5.2
-8.410e-02,-5.6
-8.408e-02,-5.2
-8.406e-02,-5
-8.404e-02,-5.2
-8.402e-02,-5.2
-8.400e-02,-5
-8.398e-02,-5
-8.396e-02,-5.2
-8.394e-02,-5
-8.392e-02,-4.8
-8.390e-02,-4.8
-8.388e-02,-4.6
-8.386e-02,-4.2
-8.384e-02,-4.6
-8.382e-02,-4
-8.380e-02,-3.8
-8.378e-02,-3.8
-8.376e-02,-3.4
-8.374e-02,-3.2
-8.372e-02,-3.2
-8.370e-02,-2.8
-8.368e-02,-3.2
-8.366e-02,-3
-8.364e-02,-3.2
-8.362e-02,-2.6
-8.360e-02,-2.2
-8.358e-02,-2.4
-8.356e-02,-2.2
-8.354e-02,-2
-8.352e-02,-2.2
-8.350e-02,-1.8
-8.348e-02,-1.2
-8.346e-02,-1
-8.344e-02,-1.2
-8.342e-02,-0.8
-8.340e-02,-0.4
-8.338e-02,-0.2
-8.336e-02,-0.4
-8.334e-02,-0.2
-8.332e-02,-0.2
-8.330e-02,0
-8.328e-02,0.2
-8.326e-02,-0.2
-8.324e-02,0
-8.322e-02,0.2
-8.320e-02,-0.2
-8.318e-02,0
-8.316e-02,0
-8.314e-02,-0.2
-8.312e-02,0
-8.310e-02,0.2
-8.308e-02,-0.2
-8.306e-02,0
-8.304e-02,0
-8.302e-02,0
-8.300e-02,0
-8.298e-02,0
-8.296e-02,0
-8.294e-02,-0.2
-8.292e-02,0.2
-8.290e-02,0.2
-8.288e-02,-0.2
-8.286e-02,0
-8.284e-02,0.4
-8.282e-02,0
-8.280e-02,0
-8.278e-02,0.4
-8.276e-02,-0.2
-8.274e-02,0
-8.272e-02,0
-8.270e-02,-0.2
-8.268e-02,0
-8.266e-02,0
-8.264e-02,0.2
-8.262e-02,-0.2
-8.260e-02,0.2
-8.258e-02,0.2
-8.256e-02,-0.2
-8.254e-02,0
-8.252e-02,0.4
-8.250e-02,0
-8.248e-02,0
-8.246e-02,0.6
-8.244e-02,0
-8.242e-02,0
-8.240e-02,0.6
-8.238e-02,0
-8.236e-02,0
-8.234e-02,0.4
-8.232e-02,0
-8.230e-02,0
-8.228e-02,0.2
-8.226e-02,0.4
-8.224e-02,-0.2
-8.222e-02,0.2
-8.220e-02,0.4
-8.218e-02,0
-8.216e-02,0
-8.214e-02,0.8
-8.212e-02,0
-8.210e-02,0
-8.208e-02,0.8
-8.206e-02,0
-8.204e-02,0.2
-8.202e-02,0.4
-8.200e-02,0.4
-8.198e-02,0
-8.196e-02,0.6
-8.194e-02,0.4
-8.192e-02,0
-8.190e-02,0.4
-8.188e-02,0.4
-8.186e-02,0
-8.184e-02,0.4
-8.182e-02,0.8
-8.180e-02,-0.2
-8.178e-02,0.2
-8.176e-02,0.6
-8.174e-02,0.2
-8.172e-02,0.4
-8.170e-02,0.6
-8.168e-02,0
-8.166e-02,0.2
-8.164e-02,0.4
-8.162e-02,0.2
-8.160e-02,-0.6
-8.158e-02,0.6
-8.156e-02,0.4
-8.154e-02,0.2
-8.152e-02,0.4
-8.150e-02,0
-8.148e-02,0
-8.146e-02,0.4
-8.144e-02,0.4
-8.142e-02,0
-8.140e-02,0.4
-8.138e-02,0.2
-8.136e-02,-0.2
-8.134e-02,0
-8.132e-02,0.4
-8.130e-02,0.2
-8.128e-02,0
-8.126e-02,0.4
-8.124e-02,0
-8.122e-02,-0.2
-8.120e-02,0
-8.118e-02,0.4
-8.116e-02,0
-8.114e-02,0.4
-8.112e-02,0.6
-8.110e-02,-0.2
-8.108e-02,0.2
-8.106e-02,0.4
-8.104e-02,-0.2
-8.102e-02,0.2
-8.100e-02,0.6
