Model,DPO3014
Firmware Version,2.23

Waveform Type,Analog
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.02
Horizontal Delay,0
Sample Interval,2e-05
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,2
Vertical Position,0
Label,
TIME,CH1
-9.554e-02,4
-9.552e-02,4.24
-9.550e-02,4
-9.548e-02,4.16
-9.546e-02,4.08
-9.544e-02,4.24
-9.542e-02,4.24
-9.540e-02,4
-9.538e-02,3.92
-9.536e-02,4
-9.534e-02,4.08
-9.532e-02,4.08
-9.530e-02,4
-9.528e-02,4.16
-9.526e-02,4.08
-9.524e-02,4.08
-9.522e-02,3.92
-9.520e-02,4.08
-9.518e-02,4
-9.516e-02,4.16
-9.514e-02,3.92
-9.512e-02,3.92
-9.510e-02,3.92
-9.508e-02,4.24
-9.506e-02,4.24
-9.504e-02,3.84
-9.502e-02,3.84
-9.500e-02,4
-9.498e-02,4.16
-9.496e-02,4.16
-9.494e-02,4
-9.492e-02,3.92
-9.490e-02,4
-9.488e-02,4
-9.486e-02,3.76
-9.484e-02,4
-9.482e-02,3.76
-9.480e-02,3.92
-9.478e-02,4.16
-9.476e-02,4.08
-9.474e-02,3.84
-9.472e-02,3.84
-9.470e-02,3.92
-9.468e-02,3.92
-9.466e-02,3.84
-9.464e-02,3.84
-9.462e-02,3.92
-9.460e-02,4
-9.458e-02,4
-9.456e-02,3.84
-9.454e-02,3.76
-9.452e-02,3.76
-9.450e-02,3.84
-9.448e-02,4
-9.446e-02,3.84
-9.444e-02,3.76
-9.442e-02,3.6
-9.440e-02,3.76
-9.438e-02,3.84
-9.436e-02,3.68
-9.434e-02,3.84
-9.432e-02,4
-9.430e-02,3.84
-9.428e-02,3.68
-9.426e-02,3.76
-9.424e-02,3.84
-9.422e-02,3.84
-9.420e-02,3.6
-9.418e-02,3.68
-9.416e-02,3.76
-9.414e-02,3.76
-9.412e-02,3.76
-9.410e-02,3.76
-9.408e-02,3.92
-9.406e-02,3.76
-9.404e-02,3.76
-9.402e-02,3.68
-9.400e-02,3.6
-9.398e-02,3.6
-9.396e-02,3.6
-9.394e-02,3.52
-9.392e-02,3.6
-9.390e-02,3.44
-9.388e-02,3.36
-9.386e-02,3.52
-9.384e-02,3.28
-9.382e-02,3.28
-9.380e-02,3.36
-9.378e-02,3.12
-9.376e-02,3.2
-9.374e-02,2.96
-9.372e-02,3.04
-9.370e-02,3.04
