Model,DPO3014
Firmware Version,2.23
,
Waveform Type,Analog
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.02
Horizontal Delay,0
Sample Interval,0.0002
Record Length,1000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.1
Vertical Position,0
Label,
TIME,CH1
-4.98E-02,-0.004
-4.96E-02,0
-4.94E-02,0.004
-4.92E-02,0
-4.90E-02,0
-4.88E-02,0
-4.86E-02,0.008
-4.84E-02,0
-4.82E-02,0.008
-4.80E-02,0
-4.78E-02,0
-4.76E-02,0
-4.74E-02,0.004
-4.72E-02,0.004
-4.70E-02,0
-4.68E-02,0
-4.66E-02,0.004
-4.64E-02,0.004
-4.62E-02,0.012
-4.60E-02,0
-4.58E-02,0.008
-4.56E-02,0.008
-4.54E-02,0.004
-4.52E-02,0.004
-4.50E-02,0.008
-4.48E-02,0.152
-4.46E-02,0.296
-4.44E-02,0.284
-4.42E-02,0.144
-4.40E-02,0.224
-4.38E-02,0.124
-4.36E-02,0.088
-4.34E-02,0.076
-4.32E-02,0.056
-4.30E-02,0.052
-4.28E-02,0.052
-4.26E-02,0.048
-4.24E-02,0.04
-4.22E-02,0.032
-4.20E-02,0.024
-4.18E-02,0.02
-4.16E-02,0
-4.14E-02,0
-4.12E-02,0
-4.10E-02,-0.004
-4.08E-02,-0.004
-4.06E-02,-0.004
-4.04E-02,-0.004
-4.02E-02,-0.004
-4.00E-02,-0.004
-3.98E-02,-0.004
-3.96E-02,0.004
-3.94E-02,-0.008
-3.92E-02,-0.008
-3.90E-02,-0.004
-3.88E-02,-0.008
-3.86E-02,-0.004
-3.84E-02,-0.008
-3.82E-02,-0.004
-3.80E-02,-0.004
-3.78E-02,0
-3.76E-02,-0.008
-3.74E-02,0
-3.72E-02,0
-3.70E-02,-0.004
-3.68E-02,-0.004
-3.66E-02,0
-3.64E-02,-0.272
-3.62E-02,-0.256
-3.60E-02,-0.256
-3.58E-02,-0.18
-3.56E-02,-0.2
-3.54E-02,-0.108
-3.52E-02,-0.072
-3.50E-02,-0.064
-3.48E-02,-0.048
-3.46E-02,-0.044
-3.44E-02,-0.036
-3.42E-02,-0.044
-3.40E-02,-0.036
-3.38E-02,-0.028
-3.36E-02,-0.02
-3.34E-02,-0.02
-3.32E-02,-0.004
-3.30E-02,0
-3.28E-02,0.008
-3.26E-02,0.008
-3.24E-02,0.004
-3.22E-02,0.004
-3.20E-02,0.008
-3.18E-02,0.004
-3.16E-02,0.004
-3.14E-02,0.004
-3.12E-02,0.008
-3.10E-02,0.008
-3.08E-02,0.004
-3.06E-02,0.008
-3.04E-02,0.004
-3.02E-02,0
-3.00E-02,0.004
-2.98E-02,0.004
-2.96E-02,0.008
-2.94E-02,0.008
-2.92E-02,0
-2.90E-02,0.004
-2.88E-02,0.004
-2.86E-02,0.004
-2.84E-02,0.004
-2.82E-02,0.012
-2.80E-02,0.332
-2.78E-02,0.276
-2.76E-02,0.16
-2.74E-02,0.224
-2.72E-02,0.152
-2.70E-02,0.104
-2.68E-02,0.072
-2.66E-02,0.072
-2.64E-02,0.06
-2.62E-02,0.052
-2.60E-02,0.036
-2.58E-02,0.04
-2.56E-02,0.04
-2.54E-02,0.032
-2.52E-02,0.024
-2.50E-02,0.008
-2.48E-02,0
-2.46E-02,0.004
-2.44E-02,-0.004
-2.42E-02,0
-2.40E-02,-0.008
-2.38E-02,0
-2.36E-02,-0.004
-2.34E-02,-0.004
-2.32E-02,-0.004
-2.30E-02,-0.008
-2.28E-02,-0.004
-2.26E-02,-0.004
-2.24E-02,0
-2.22E-02,-0.012
-2.20E-02,-0.004
-2.18E-02,-0.004
-2.16E-02,-0.004
-2.14E-02,-0.004
-2.12E-02,0
-2.10E-02,-0.004
-2.08E-02,-0.004
-2.06E-02,-0.004
-2.04E-02,-0.004
-2.02E-02,-0.004
-2.00E-02,-0.004
-1.98E-02,-0.152
-1.96E-02,-0.292
-1.94E-02,-0.268
-1.92E-02,-0.144
-1.90E-02,-0.224
-1.88E-02,-0.112
-1.86E-02,-0.076
-1.84E-02,-0.068
-1.82E-02,-0.064
-1.80E-02,-0.052
-1.78E-02,-0.048
-1.76E-02,-0.04
-1.74E-02,-0.036
-1.72E-02,-0.028
-1.70E-02,-0.024
-1.68E-02,-0.016
-1.66E-02,-0.004
-1.64E-02,0.004
-1.62E-02,0.012
-1.60E-02,0
-1.58E-02,0.004
-1.56E-02,0.004
-1.54E-02,0
-1.52E-02,0.004
-1.50E-02,0.008
-1.48E-02,0.004
-1.46E-02,0.008
-1.44E-02,0.004
-1.42E-02,0.008
-1.40E-02,0.008
-1.38E-02,0.004
-1.36E-02,0.008
-1.34E-02,0.004
-1.32E-02,0.004
-1.30E-02,0
-1.28E-02,0.008
-1.26E-02,0.004
-1.24E-02,0.016
-1.22E-02,0.004
-1.20E-02,0.004
-1.18E-02,0.004
-1.16E-02,0
-1.14E-02,0.288
-1.12E-02,0.264
-1.10E-02,0.252
-1.08E-02,0.204
-1.06E-02,0.212
-1.04E-02,0.112
-1.02E-02,0.084
-1.00E-02,0.072
-9.80E-03,0.064
-9.60E-03,0.056
-9.40E-03,0.036
-9.20E-03,0.044
-9.00E-03,0.04
-8.80E-03,0.04
-8.60E-03,0.024
-8.40E-03,0.02
-8.20E-03,0
-8.00E-03,0
-7.80E-03,0
-7.60E-03,0
-7.40E-03,-0.008
-7.20E-03,-0.008
-7.00E-03,-0.004
-6.80E-03,-0.004
-6.60E-03,-0.008
-6.40E-03,-0.008
-6.20E-03,-0.004
-6.00E-03,0
-5.80E-03,-0.004
-5.60E-03,-0.004
-5.40E-03,-0.008
-5.20E-03,0
-5.00E-03,0
-4.80E-03,-0.004
-4.60E-03,-0.004
-4.40E-03,0
-4.20E-03,-0.012
-4.00E-03,-0.004
-3.80E-03,0
-3.60E-03,-0.004
-3.40E-03,0
-3.20E-03,-0.004
-3.00E-03,-0.316
-2.80E-03,-0.276
-2.60E-03,-0.156
-2.40E-03,-0.232
-2.20E-03,-0.148
-2.00E-03,-0.096
-1.80E-03,-0.06
-1.60E-03,-0.052
-1.40E-03,-0.056
-1.20E-03,-0.044
-1.00E-03,-0.044
-8.00E-04,-0.04
-6.00E-04,-0.036
-4.00E-04,-0.032
-2.00E-04,-0.024
1.00E-15,-0.012
2.00E-04,0
4.00E-04,0.004
6.00E-04,0
8.00E-04,0.008
1.00E-03,0.012
1.20E-03,0.004
1.40E-03,0.008
1.60E-03,0.008
1.80E-03,0.012
2.00E-03,0
2.20E-03,0.008
2.40E-03,0.008
2.60E-03,0.004
2.80E-03,0.008
3.00E-03,0.008
3.20E-03,0.004
3.40E-03,0.004
3.60E-03,0
3.80E-03,0.008
4.00E-03,0
4.20E-03,0.008
4.40E-03,0
4.60E-03,0
4.80E-03,0.008
5.00E-03,0
5.20E-03,0.168
5.40E-03,0.284
5.60E-03,0.288
5.80E-03,0.148
6.00E-03,0.22
6.20E-03,0.124
6.40E-03,0.084
6.60E-03,0.076
6.80E-03,0.064
7.00E-03,0.048
7.20E-03,0.044
7.40E-03,0.044
7.60E-03,0.044
7.80E-03,0.04
8.00E-03,0.02
8.20E-03,0.016
8.40E-03,0.008
8.60E-03,-0.004
8.80E-03,0
9.00E-03,0
9.20E-03,0
9.40E-03,0.004
9.60E-03,-0.008
9.80E-03,0
1.00E-02,0
1.02E-02,-0.004
1.04E-02,-0.004
1.06E-02,-0.004
1.08E-02,-0.004
1.10E-02,-0.004
1.12E-02,-0.008
1.14E-02,-0.004
1.16E-02,0.004
1.18E-02,-0.004
1.20E-02,-0.004
1.22E-02,-0.004
1.24E-02,-0.004
1.26E-02,-0.004
1.28E-02,-0.012
1.30E-02,-0.004
1.32E-02,-0.004
1.34E-02,-0.004
1.36E-02,-0.284
1.38E-02,-0.256
1.40E-02,-0.248
1.42E-02,-0.192
1.44E-02,-0.2
1.46E-02,-0.108
1.48E-02,-0.064
1.50E-02,-0.064
1.52E-02,-0.056
1.54E-02,-0.056
1.56E-02,-0.044
1.58E-02,-0.028
1.60E-02,-0.036
1.62E-02,-0.028
1.64E-02,-0.032
1.66E-02,-0.02
1.68E-02,0
1.70E-02,0.004
1.72E-02,0
1.74E-02,0.004
1.76E-02,0.004
1.78E-02,0.008
1.80E-02,0.012
1.82E-02,0.004
1.84E-02,-0.004
1.86E-02,0.004
1.88E-02,0.008
1.90E-02,0
1.92E-02,0.008
1.94E-02,0
1.96E-02,0.004
1.98E-02,0.008
2.00E-02,0.004
2.02E-02,0.004
2.04E-02,0.004
2.06E-02,0.008
2.08E-02,0.004
2.10E-02,0.004
2.12E-02,0.008
2.14E-02,0.008
2.16E-02,0.008
2.18E-02,0.024
2.20E-02,0.324
2.22E-02,0.276
2.24E-02,0.152
2.26E-02,0.228
2.28E-02,0.152
2.30E-02,0.1
2.32E-02,0.076
2.34E-02,0.064
2.36E-02,0.052
2.38E-02,0.044
2.40E-02,0.044
2.42E-02,0.04
2.44E-02,0.036
2.46E-02,0.032
2.48E-02,0.032
2.50E-02,0.012
2.52E-02,0
2.54E-02,0
2.56E-02,-0.004
2.58E-02,-0.012
2.60E-02,-0.004
2.62E-02,0
2.64E-02,0
2.66E-02,0
2.68E-02,-0.004
2.70E-02,-0.004
2.72E-02,0
2.74E-02,-0.004
2.76E-02,-0.004
2.78E-02,-0.004
2.80E-02,-0.004
2.82E-02,-0.012
2.84E-02,-0.008
2.86E-02,-0.004
2.88E-02,-0.004
2.90E-02,-0.004
2.92E-02,-0.004
2.94E-02,-0.004
2.96E-02,0
2.98E-02,0
3.00E-02,-0.008
3.02E-02,-0.18
3.04E-02,-0.28
3.06E-02,-0.276
3.08E-02,-0.148
3.10E-02,-0.224
3.12E-02,-0.112
3.14E-02,-0.088
3.16E-02,-0.068
3.18E-02,-0.06
3.20E-02,-0.056
3.22E-02,-0.044
3.24E-02,-0.04
3.26E-02,-0.04
3.28E-02,-0.032
3.30E-02,-0.028
3.32E-02,-0.02
3.34E-02,0.008
3.36E-02,0.012
3.38E-02,0
3.40E-02,0.008
3.42E-02,0.008
3.44E-02,0
3.46E-02,0.016
3.48E-02,0.004
3.50E-02,0.008
3.52E-02,0.008
3.54E-02,0
3.56E-02,0.004
3.58E-02,0.012
3.60E-02,0.004
3.62E-02,0.004
3.64E-02,0.004
3.66E-02,0.004
3.68E-02,0.008
3.70E-02,0.004
3.72E-02,0.012
3.74E-02,0.004
3.76E-02,0
3.78E-02,0
3.80E-02,0.004
3.82E-02,0.004
3.84E-02,0
3.86E-02,0.3
3.88E-02,0.264
3.90E-02,0.244
3.92E-02,0.204
3.94E-02,0.196
3.96E-02,0.108
3.98E-02,0.08
4.00E-02,0.068
4.02E-02,0.048
4.04E-02,0.052
4.06E-02,0.052
4.08E-02,0.044
4.10E-02,0.04
4.12E-02,0.024
4.14E-02,0.024
4.16E-02,0.02
4.18E-02,0.012
4.20E-02,0
4.22E-02,0
4.24E-02,-0.004
4.26E-02,-0.004
4.28E-02,-0.004
4.30E-02,-0.004
4.32E-02,-0.012
4.34E-02,0
4.36E-02,-0.008
4.38E-02,0
4.40E-02,0
4.42E-02,-0.004
4.44E-02,-0.004
4.46E-02,-0.008
4.48E-02,0.004
4.50E-02,0
4.52E-02,0
4.54E-02,-0.004
4.56E-02,-0.004
4.58E-02,-0.004
4.60E-02,-0.008
4.62E-02,-0.004
4.64E-02,0
4.66E-02,-0.004
4.68E-02,-0.028
4.70E-02,-0.324
4.72E-02,-0.272
4.74E-02,-0.156
4.76E-02,-0.228
4.78E-02,-0.144
4.80E-02,-0.096
4.82E-02,-0.068
4.84E-02,-0.064
4.86E-02,-0.052
4.88E-02,-0.048
4.90E-02,-0.04
4.92E-02,-0.04
4.94E-02,-0.032
4.96E-02,-0.032
4.98E-02,-0.024
5.00E-02,-0.004
5.02E-02,0.008
5.04E-02,0
5.06E-02,0.004
5.08E-02,0
5.10E-02,0.004
5.12E-02,0.008
5.14E-02,0.004
5.16E-02,0
5.18E-02,0.008
5.20E-02,0.004
5.22E-02,0.008
5.24E-02,0
5.26E-02,0.004
5.28E-02,0.008
5.30E-02,0
5.32E-02,0.004
5.34E-02,0.008
5.36E-02,0.008
5.38E-02,0.008
5.40E-02,0.016
5.42E-02,0.008
5.44E-02,0.008
5.46E-02,0.008
5.48E-02,0.008
5.50E-02,0.004
5.52E-02,0.192
5.54E-02,0.276
